h,overlap
1.000000e+00,9.999471e-01
1.400000e+00,9.998571e-01
1.500000e+00,9.998074e-01
2.000000e+00,9.993601e-01
2.500000e+00,9.996047e-01
3.000000e+00,9.997582e-01
3.500000e+00,9.997637e-01
4.000000e+00,9.998300e-01
4.500000e+00,9.997743e-01
